x,y
720,797
720,798
721,799
721,800
721,801
721,802
721,803
721,804
721,805
721,806
721,807
721,808
721,809
721,810
721,811
721,812
721,813
721,814
721,815
722,816
722,817
722,818
722,819
722,820
722,821
722,822
722,823
722,824
722,825
722,826
723,827
723,828
723,829
723,830
723,831
723,832
723,833
723,834
723,835
724,836
724,837
724,838
724,839
724,840
725,841
725,842
725,843
725,844
725,845
726,846
726,847
726,848
726,849
726,850
726,851
726,852
726,853
726,854
727,855
727,856
728,857
728,858
728,859
728,860
729,861
729,862
729,863
729,864
729,865
730,866
730,867
730,868
731,869
731,870
731,871
732,872
732,873
732,874
733,875
733,876
733,877
733,878
734,879
734,880
735,881
735,882
735,883
735,884
736,885
736,886
736,887
737,888
737,889
737,890
738,891
738,892
739,893
740,894
740,895
741,896
741,897
742,898
742,899
743,900
743,901
743,902
744,903
744,904
744,905
745,906
745,907
746,908
746,909
747,910
748,911
748,912
749,913
749,914
750,915
751,916
751,917
752,918
753,919
753,920
754,921
754,922
755,923
756,924
756,925
757,926
758,927
758,928
759,929
760,930
760,931
761,932
762,933
763,934
763,935
764,936
765,937
766,938
767,939
767,940
768,941
769,942
770,943
771,944
772,945
773,946
774,947
774,948
775,949
776,950
777,951
778,952
779,953
780,954
780,955
781,956
782,957
783,958
784,959
785,960
786,961
787,962
788,963
789,964
790,965
791,966
792,967
793,967
794,968
795,969
796,970
797,971
798,972
799,973
800,974
801,975
802,976
803,976
804,977
805,978
806,979
807,980
808,981
809,981
810,982
811,983
812,984
813,985
814,985
815,986
816,987
817,988
818,989
819,990
820,990
821,991
822,992
823,992
824,993
825,993
826,994
827,995
828,995
829,996
830,997
831,998
832,998
833,999
834,1000
835,1000
836,1001
837,1001
838,1002
839,1003
840,1004
841,1005
842,1005
843,1006
844,1006
845,1007
846,1007
847,1008
848,1009
849,1009
850,1010
851,1010
852,1011
1486,1011
1487,1011
1488,1011
1489,1011
1490,1011
1491,1011
1492,1011
1493,1011
853,1012
854,1012
1485,1012
1494,1012
1495,1012
855,1013
856,1013
1484,1013
857,1014
858,1014
1483,1014
859,1015
860,1015
1482,1015
861,1016
862,1016
1481,1016
863,1017
